ID|URL|ALEPHIDN|WEBSCHNITT|INTERVALL_H|EBENEN|GATHER_DIR|LAST_ENTRY|LAST_GATHER|LAST_INGEST|TOLOAD_DIR|STATUS|LAST_PID|USR_STAT|ENTRY_DATE|EXTENDED_TEXT|IGNORE_ROBOTS|DEACT_MSG 
711|http://www.petrus-mosellanus.de/|null|J|8640|null|/storage/gather/rlb01_20091217114412|17.12.2009 11:43:40|17.12.2009 11:46:44|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20091217114412|NI|null|AK|17.12.2009 11:43:40|null|null|null
742|http://www.keramik-symposium.de/|null|J|8640|null|/storage/gather/rlb01_20091221165517|21.12.2009 16:54:41|21.12.2009 17:21:18|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20091221165517|NI|null|AK|21.12.2009 16:54:41|null|null|null
743|http://www.bellerkirche.de/|null|J|17280|null|/storage/gather/rlb01_20091221170716|21.12.2009 17:06:55|21.12.2009 17:08:58|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20091221170716|NI|null|AK|21.12.2009 17:06:55|null|null|null
744|http://www.die-oase.info/|TT002234408|J|8640|null|/storage/gather/rlb01_20091221171915|21.12.2009 17:18:50|03.01.2014 13:57:50|03.01.2014 14:11:29|null|S |5433286|AK|21.12.2009 17:18:50|null|null|null
745|http://www.vulkane.de/|null|J|4320|null|/storage/gather/rlb01_20091221172318|21.12.2009 17:22:43|21.12.2009 17:35:34|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20091221172318|NI|null|AK|21.12.2009 17:22:43|null|null|null
781|http://www.per-rlp.de/|HT016335802|J|8640|null|/storage/gather/rlb01_20100104160912|28.04.2010 07:38:32|14.12.2013 18:18:02|03.01.2014 12:32:54|null|S |5433282|AK|04.01.2010 16:08:51|null|null|null
782|www.schuldienst.rlp.de|HT016378334|J|4320|null|/storage/gather/rlb01_20100104163612|02.06.2010 08:56:47|11.12.2014 13:00:45|11.12.2014 13:44:32|null|S |5915611|AK|04.01.2010 16:35:59|null|null|null
783|http://www.klimaatlas.koblenz.de/|null|J|8640|null|/storage/gather/rlb01_20100104164111|04.01.2010 16:40:41|04.01.2010 22:25:50|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20100104164111|NI|null|AK|04.01.2010 16:40:41|null|null|null
784|http://www.eckenroth-stiftung.de/|null|J|8640|null|/storage/gather/rlb01_20100104170112|04.01.2010 17:00:12|04.01.2010 17:04:53|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20100104170112|NI|null|AK|04.01.2010 17:00:12|null|null|null
801|http://www.katzenelnbogen.de/|null|J|4320|null|/storage/gather/rlb01_20100105092212|05.01.2010 09:21:09|05.01.2010 09:25:31|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20100105092212|NI|null|AK|05.01.2010 09:21:09|null|null|null
823|http://www.akhartz4-koblenz.de/|null|J|4320|null|/storage/gather/rlb01_20100106150212|06.01.2010 15:01:26|06.01.2010 15:07:45|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20100106150212|NI|null|AK|06.01.2010 15:01:26|null|null|null
825|http://www.beratung-neuwied.de/startseite/index.html|null|J|8640|null|/storage/gather/rlb01_20100106151112|06.01.2010 15:10:48|06.01.2010 15:11:24|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20100106151112|NI|null|AK|06.01.2010 15:10:48|null|null|null
881|http://www.winneburger-tross.de/|null|J|8640|null|/storage/gather/rlb01_20100118100413|18.01.2010 10:03:19|18.01.2010 10:36:27|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20100118100413|NI|null|AK|18.01.2010 10:03:19|null|null|null
